"Title","Trade in Goods: South Korea: Total: Exports: BOP: CP: SA"
"CDID","ERDM"
"Source dataset ID","MRET"
"PreUnit",""
"Unit",""
"Release date","16-07-2026"
"Next release","13 August 2026"
"Important notes",
"1997","1254"
"1998","693"
"1999","891"
"2000","1200"
"2001","1253"
"2002","1491"
"2003","1484"
"2004","1479"
"2005","1686"
"2006","1736"
"2007","1883"
"2008","2444"
"2009","2074"
"2010","2249"
"2011","2563"
"2012","4693"
"2013","5040"
"2014","4237"
"2015","4922"
"2016","4807"
"2017","6782"
"2018","6840"
"2019","4529"
"2020","4965"
"2021","5966"
"2022","7954"
"2023","5886"
"2024","4942"
"2025","4713"
"1997 Q1","296"
"1997 Q2","337"
"1997 Q3","323"
"1997 Q4","298"
"1998 Q1","156"
"1998 Q2","184"
"1998 Q3","160"
"1998 Q4","193"
"1999 Q1","195"
"1999 Q2","230"
"1999 Q3","221"
"1999 Q4","245"
"2000 Q1","281"
"2000 Q2","300"
"2000 Q3","306"
"2000 Q4","313"
"2001 Q1","309"
"2001 Q2","315"
"2001 Q3","310"
"2001 Q4","319"
"2002 Q1","326"
"2002 Q2","428"
"2002 Q3","380"
"2002 Q4","357"
"2003 Q1","386"
"2003 Q2","359"
"2003 Q3","353"
"2003 Q4","386"
"2004 Q1","332"
"2004 Q2","348"
"2004 Q3","389"
"2004 Q4","410"
"2005 Q1","391"
"2005 Q2","454"
"2005 Q3","420"
"2005 Q4","421"
"2006 Q1","369"
"2006 Q2","414"
"2006 Q3","463"
"2006 Q4","490"
"2007 Q1","423"
"2007 Q2","483"
"2007 Q3","439"
"2007 Q4","538"
"2008 Q1","505"
"2008 Q2","799"
"2008 Q3","615"
"2008 Q4","525"
"2009 Q1","415"
"2009 Q2","494"
"2009 Q3","539"
"2009 Q4","626"
"2010 Q1","519"
"2010 Q2","615"
"2010 Q3","600"
"2010 Q4","515"
"2011 Q1","553"
"2011 Q2","534"
"2011 Q3","550"
"2011 Q4","926"
"2012 Q1","1073"
"2012 Q2","1384"
"2012 Q3","1052"
"2012 Q4","1184"
"2013 Q1","1417"
"2013 Q2","954"
"2013 Q3","770"
"2013 Q4","1899"
"2014 Q1","1180"
"2014 Q2","990"
"2014 Q3","914"
"2014 Q4","1153"
"2015 Q1","1300"
"2015 Q2","1300"
"2015 Q3","1220"
"2015 Q4","1102"
"2016 Q1","1159"
"2016 Q2","1052"
"2016 Q3","960"
"2016 Q4","1636"
"2017 Q1","1449"
"2017 Q2","1671"
"2017 Q3","1570"
"2017 Q4","2092"
"2018 Q1","1423"
"2018 Q2","1912"
"2018 Q3","2136"
"2018 Q4","1369"
"2019 Q1","1082"
"2019 Q2","1034"
"2019 Q3","1338"
"2019 Q4","1075"
"2020 Q1","1075"
"2020 Q2","1065"
"2020 Q3","1368"
"2020 Q4","1457"
"2021 Q1","1485"
"2021 Q2","1044"
"2021 Q3","1282"
"2021 Q4","2155"
"2022 Q1","2410"
"2022 Q2","2160"
"2022 Q3","2022"
"2022 Q4","1362"
"2023 Q1","1446"
"2023 Q2","1174"
"2023 Q3","1621"
"2023 Q4","1645"
"2024 Q1","1034"
"2024 Q2","1239"
"2024 Q3","1636"
"2024 Q4","1033"
"2025 Q1","1670"
"2025 Q2","987"
"2025 Q3","980"
"2025 Q4","1076"
"2026 Q1","1083"
"1997 JAN","109"
"1997 FEB","98"
"1997 MAR","89"
"1997 APR","101"
"1997 MAY","117"
"1997 JUN","119"
"1997 JUL","124"
"1997 AUG","109"
"1997 SEP","90"
"1997 OCT","106"
"1997 NOV","95"
"1997 DEC","97"
"1998 JAN","56"
"1998 FEB","43"
"1998 MAR","57"
"1998 APR","65"
"1998 MAY","56"
"1998 JUN","63"
"1998 JUL","55"
"1998 AUG","44"
"1998 SEP","61"
"1998 OCT","61"
"1998 NOV","67"
"1998 DEC","65"
"1999 JAN","58"
"1999 FEB","61"
"1999 MAR","76"
"1999 APR","68"
"1999 MAY","71"
"1999 JUN","91"
"1999 JUL","70"
"1999 AUG","80"
"1999 SEP","71"
"1999 OCT","75"
"1999 NOV","89"
"1999 DEC","81"
"2000 JAN","78"
"2000 FEB","106"
"2000 MAR","97"
"2000 APR","101"
"2000 MAY","84"
"2000 JUN","115"
"2000 JUL","99"
"2000 AUG","101"
"2000 SEP","106"
"2000 OCT","114"
"2000 NOV","93"
"2000 DEC","106"
"2001 JAN","112"
"2001 FEB","90"
"2001 MAR","107"
"2001 APR","94"
"2001 MAY","100"
"2001 JUN","121"
"2001 JUL","112"
"2001 AUG","105"
"2001 SEP","93"
"2001 OCT","101"
"2001 NOV","116"
"2001 DEC","102"
"2002 JAN","109"
"2002 FEB","103"
"2002 MAR","114"
"2002 APR","140"
"2002 MAY","158"
"2002 JUN","130"
"2002 JUL","158"
"2002 AUG","121"
"2002 SEP","101"
"2002 OCT","124"
"2002 NOV","98"
"2002 DEC","135"
"2003 JAN","129"
"2003 FEB","127"
"2003 MAR","130"
"2003 APR","145"
"2003 MAY","119"
"2003 JUN","95"
"2003 JUL","112"
"2003 AUG","129"
"2003 SEP","112"
"2003 OCT","131"
"2003 NOV","98"
"2003 DEC","157"
"2004 JAN","93"
"2004 FEB","118"
"2004 MAR","121"
"2004 APR","117"
"2004 MAY","116"
"2004 JUN","115"
"2004 JUL","136"
"2004 AUG","130"
"2004 SEP","123"
"2004 OCT","107"
"2004 NOV","143"
"2004 DEC","160"
"2005 JAN","122"
"2005 FEB","112"
"2005 MAR","157"
"2005 APR","149"
"2005 MAY","145"
"2005 JUN","160"
"2005 JUL","133"
"2005 AUG","149"
"2005 SEP","138"
"2005 OCT","128"
"2005 NOV","144"
"2005 DEC","149"
"2006 JAN","124"
"2006 FEB","107"
"2006 MAR","138"
"2006 APR","160"
"2006 MAY","123"
"2006 JUN","131"
"2006 JUL","133"
"2006 AUG","156"
"2006 SEP","174"
"2006 OCT","167"
"2006 NOV","203"
"2006 DEC","120"
"2007 JAN","108"
"2007 FEB","141"
"2007 MAR","174"
"2007 APR","140"
"2007 MAY","172"
"2007 JUN","171"
"2007 JUL","149"
"2007 AUG","172"
"2007 SEP","118"
"2007 OCT","183"
"2007 NOV","197"
"2007 DEC","158"
"2008 JAN","168"
"2008 FEB","174"
"2008 MAR","163"
"2008 APR","165"
"2008 MAY","146"
"2008 JUN","488"
"2008 JUL","189"
"2008 AUG","189"
"2008 SEP","237"
"2008 OCT","216"
"2008 NOV","138"
"2008 DEC","171"
"2009 JAN","151"
"2009 FEB","145"
"2009 MAR","119"
"2009 APR","192"
"2009 MAY","144"
"2009 JUN","158"
"2009 JUL","226"
"2009 AUG","117"
"2009 SEP","196"
"2009 OCT","208"
"2009 NOV","206"
"2009 DEC","212"
"2010 JAN","141"
"2010 FEB","193"
"2010 MAR","185"
"2010 APR","185"
"2010 MAY","264"
"2010 JUN","166"
"2010 JUL","227"
"2010 AUG","167"
"2010 SEP","206"
"2010 OCT","184"
"2010 NOV","162"
"2010 DEC","169"
"2011 JAN","179"
"2011 FEB","188"
"2011 MAR","186"
"2011 APR","177"
"2011 MAY","178"
"2011 JUN","179"
"2011 JUL","203"
"2011 AUG","185"
"2011 SEP","162"
"2011 OCT","206"
"2011 NOV","201"
"2011 DEC","519"
"2012 JAN","443"
"2012 FEB","252"
"2012 MAR","378"
"2012 APR","496"
"2012 MAY","407"
"2012 JUN","481"
"2012 JUL","491"
"2012 AUG","276"
"2012 SEP","285"
"2012 OCT","367"
"2012 NOV","233"
"2012 DEC","584"
"2013 JAN","472"
"2013 FEB","519"
"2013 MAR","426"
"2013 APR","296"
"2013 MAY","214"
"2013 JUN","444"
"2013 JUL","255"
"2013 AUG","248"
"2013 SEP","267"
"2013 OCT","514"
"2013 NOV","802"
"2013 DEC","583"
"2014 JAN","352"
"2014 FEB","579"
"2014 MAR","249"
"2014 APR","395"
"2014 MAY","303"
"2014 JUN","292"
"2014 JUL","324"
"2014 AUG","223"
"2014 SEP","367"
"2014 OCT","426"
"2014 NOV","436"
"2014 DEC","291"
"2015 JAN","406"
"2015 FEB","360"
"2015 MAR","534"
"2015 APR","402"
"2015 MAY","389"
"2015 JUN","509"
"2015 JUL","488"
"2015 AUG","243"
"2015 SEP","489"
"2015 OCT","302"
"2015 NOV","379"
"2015 DEC","421"
"2016 JAN","215"
"2016 FEB","474"
"2016 MAR","470"
"2016 APR","314"
"2016 MAY","333"
"2016 JUN","405"
"2016 JUL","281"
"2016 AUG","408"
"2016 SEP","271"
"2016 OCT","484"
"2016 NOV","496"
"2016 DEC","656"
"2017 JAN","448"
"2017 FEB","420"
"2017 MAR","581"
"2017 APR","505"
"2017 MAY","757"
"2017 JUN","409"
"2017 JUL","482"
"2017 AUG","653"
"2017 SEP","435"
"2017 OCT","916"
"2017 NOV","624"
"2017 DEC","552"
"2018 JAN","396"
"2018 FEB","366"
"2018 MAR","661"
"2018 APR","777"
"2018 MAY","586"
"2018 JUN","549"
"2018 JUL","1051"
"2018 AUG","556"
"2018 SEP","529"
"2018 OCT","545"
"2018 NOV","543"
"2018 DEC","281"
"2019 JAN","301"
"2019 FEB","493"
"2019 MAR","288"
"2019 APR","270"
"2019 MAY","352"
"2019 JUN","412"
"2019 JUL","738"
"2019 AUG","311"
"2019 SEP","289"
"2019 OCT","342"
"2019 NOV","316"
"2019 DEC","417"
"2020 JAN","251"
"2020 FEB","389"
"2020 MAR","435"
"2020 APR","215"
"2020 MAY","211"
"2020 JUN","639"
"2020 JUL","404"
"2020 AUG","426"
"2020 SEP","538"
